Size, Seq, Par, Libc
100, 0.000012, 0.007092, 0.000022
100, 0.000013, 0.005222, 0.000014
100, 0.000012, 0.006224, 0.000015
100, 0.000013, 0.006151, 0.000013
100, 0.000012, 0.005258, 0.000013
1000, 0.000147, 0.018197, 0.000160
1000, 0.000142, 0.015894, 0.000149
1000, 0.000137, 0.018894, 0.000143
1000, 0.000137, 0.017875, 0.000146
1000, 0.000137, 0.018130, 0.000147
10000, 0.001894, 0.034526, 0.001716
10000, 0.001814, 0.042936, 0.001754
10000, 0.001920, 0.037752, 0.001750
10000, 0.001881, 0.035202, 0.001768
10000, 0.001880, 0.036951, 0.001742
100000, 0.023238, 0.043377, 0.021549
100000, 0.020789, 0.041673, 0.019797
100000, 0.020057, 0.040317, 0.019321
100000, 0.022825, 0.048527, 0.019298
100000, 0.020187, 0.040346, 0.019458
1000000, 0.201404, 0.196891, 0.202005
1000000, 0.217748, 0.197383, 0.206163
1000000, 0.206787, 0.202697, 0.206008
1000000, 0.202996, 0.192185, 0.195491
1000000, 0.246491, 0.227880, 0.249740
