Size, Seq, Par, Libc
128, 0.000017, 0.007772, 0.000032
128, 0.000017, 0.006100, 0.000028
128, 0.000016, 0.011135, 0.000048
128, 0.000020, 0.016608, 0.000040
128, 0.000016, 0.015807, 0.000049
256, 0.000041, 0.015592, 0.000064
256, 0.000036, 0.012563, 0.000049
256, 0.000035, 0.014079, 0.000053
256, 0.000034, 0.021706, 0.000052
256, 0.000035, 0.012109, 0.000050
512, 0.000082, 0.017947, 0.000090
512, 0.000081, 0.015356, 0.000091
512, 0.000131, 0.023535, 0.000105
512, 0.000082, 0.020023, 0.000090
512, 0.000083, 0.018365, 0.000105
1024, 0.000166, 0.017507, 0.000174
1024, 0.000166, 0.019544, 0.000176
1024, 0.000166, 0.019758, 0.000184
1024, 0.000167, 0.016418, 0.000172
1024, 0.000167, 0.016991, 0.000177
2048, 0.000352, 0.021179, 0.000351
2048, 0.000392, 0.019645, 0.000356
2048, 0.000353, 0.023019, 0.000355
2048, 0.000353, 0.031814, 0.000350
2048, 0.000357, 0.027457, 0.000366
4096, 0.000828, 0.034288, 0.000769
4096, 0.000767, 0.037104, 0.000736
4096, 0.000908, 0.034164, 0.000736
4096, 0.000781, 0.034422, 0.000745
4096, 0.000793, 0.037210, 0.000818
8192, 0.001757, 0.042234, 0.002009
8192, 0.001769, 0.037823, 0.001595
8192, 0.001691, 0.036212, 0.001587
8192, 0.001762, 0.039323, 0.001618
8192, 0.001790, 0.043741, 0.001616
